status,intended_title,intended_author,intended_shelf,intended_date_read,bad_actual_book_id,bad_actual_title,bad_actual_author,candidate_book_id,candidate_title,candidate_author,candidate_url,candidate_score,candidate_suspicious,alternatives
wrong-edition,The Black Swan,Nassim Nicholas Taleb,read-2022,2022/09/21,55125705,Summary of The Black Swan by Nassim Nicholas Taleb: The Impact of the Highly Improbable,Best Book Briefings,242472,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,https://www.goodreads.com/book/show/242472.The_Black_Swan?from_search=true&from_srp=true&qid=IYAgCyxcEh&rank=8,0.950,no,"55125705:Summary of The Black Swan by Nassim Nicholas Taleb: The Impact of the Highly Improbable / Best Book Briefings || 28226413:The Black Swan: The Impact of the Highly Improbable by Nassim Nicholas Taleb | Key Takeaways, Analysis & Review / Instaread Summaries || 60965459:Summary of The Black Swan by Nassim Nicholas Taleb: Impact of the Highly Improbable: / David Kadavy"
wrong-edition,Slaughterhouse-Five,Kurt Vonnegut,read-2022,2022/04/29,4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,8729635,"Prestwick House, Inc. Ap Individual Learning Packet Teaching Unit; Slaughterhouse Five By Kurt Vonnegut",Tom Zolpar,https://www.goodreads.com/book/show/8729635-prestwick-house-inc-ap-individual-learning-packet-teaching-unit-slaug?from_search=true&from_srp=true&qid=T6EAVGufb1&rank=1,0.670,no,"31480:Kurt Vonnegut's Slaughterhouse-five / Harold Bloom || 44728581:Slaughterhouse-Five by Kurt Vonnegut (Book Analysis): Detailed Summary, Analysis and Reading Guide (BrightSummaries.com) / Bright Summaries || 35460142:Study Guide: Slaughterhouse-Five by Kurt Vonnegut / Robert Crayola"
wrong-edition,The 7 Habits of Highly Effective People,Stephen R. Covey,read-2020,2020/12/31,36628256,Summary: The 7 Habits of Highly Effective People by Stephen R. Covey,In A Nutshell Publishing,214274804,"The 7 Habits of Highly Effective People Guided Journal & The 7 Habits Of Highly Effective People By Stephen R. Covey, Sean Covey 2 Books Collection Set",Stephen R. Covey,https://www.goodreads.com/book/show/214274804-the-7-habits-of-highly-effective-people-guided-journal-the-7-habits-of?from_search=true&from_srp=true&qid=PJp8xB2Zi1&rank=4,0.950,no,36628256:Summary: The 7 Habits of Highly Effective People by Stephen R. Covey / In A Nutshell Publishing || 26130196:The 7 Habits of Highly Effective People: by Stephen R. Covey | Powerful Lessons in Personal Change | Summary & Takeaways / Kaizen Press || 61718283:Summary of the 7 Habits of Highly Effective People by Stephen R. Covey: Powerful Lessons in Personal Change / SMART OSBORN
wrong-edition,The Chimp Paradox,Steve Peters,read-2020,2020/12/31,26022004,"A Joosr Guide to… The Chimp Paradox by Steve Peters: The Mind Management Program to Help You Achieve Success, Confidence, and Happiness",Joosr,12228097,The Chimp Paradox: How Our Impulses and Emotions Can Determine Success and Happiness and How We Can Control Them,Steve Peters,https://www.goodreads.com/book/show/12228097-the-chimp-paradox?from_search=true&from_srp=true&qid=qCevT4wLde&rank=2,0.950,no,251290362:The Chimp Paradox by Professor Steve Peters & The Inner Chimp by Juno Lin 2 Books Collection Set / Professor Steve Peters || 139639375:BY Professor Steve Peters My Hidden Chimp The new book from the author of The Chimp Paradox Paperback - 15 Nov 2018 / Steve Peters || 114591151:Chimp Paradox 3 Books Collection set By Prof Steve Peters / Steve Peters
wrong-edition,Digital Minimalism,Cal Newport,read-2020,2020/12/31,51016920,Summary of Digital Minimalism Cal Newport - Choosing a Focused Life in a Noisy World,DMPublishers,253290325,Digital Minimalism By Cal Newport डिजिटल मिनिमलिझम कॅल न्यूपोर्ट,Unknown Author,https://www.goodreads.com/book/show/253290325-digital-minimalism-by-cal-newport?from_search=true&from_srp=true&qid=9x7iAdVJfe&rank=3,0.670,no,51016920:Summary of Digital Minimalism Cal Newport - Choosing a Focused Life in a Noisy World / DMPublishers || 254258846:Study Guide: Digital Minimalism by Cal Newport / SuperSummary || 119366601:SUMMARY AND ANALYSIS OF DIGITAL MINIMALISM BY CAL NEWPORT / A.S. Summary
wrong-edition,Deep Work,Cal Newport,read-2020,2020/12/31,35366730,Summary: Deep Work by Cal Newport: Rules for Focused Success in a Distracted Wor,Goldmine Reads,43524057,"Deep work cal newport, unfck yourself, you are a badass, you are a badass at making money 4 books collection set",Cal Newport,https://www.goodreads.com/book/show/43524057-deep-work-cal-newport-unfck-yourself-you-are-a-badass-you-are-a-badas?from_search=true&from_srp=true&qid=svUkbb2q8K&rank=3,0.950,no,"61035709:Deep Work By Cal Newport, Hyperfocus By Chris Bailey, Atomic Habits By James Clear 3 Books Collection Set / Cal Newport || 31808725:Infographic of Deep Work: by Cal Newport / Instaread Summaries || 29505065:Summary of Deep Work: by Cal Newport | Includes Analysis / Instaread Summaries"
wrong-edition,How to Live on 24 Hours a Day,Arnold Bennett,read-2020,2020/12/31,210397303,My TLDR on How to Live on 24 Hours a Day By Arnold Bennett,Sao Short,43181538,How to Live on 24 Hours a Day: Arnold Bennett's Guide to Time Management and Fulfillment (Best Motivational Books for Personal Development (Design Your Life)),Arnold Bennett,https://www.goodreads.com/book/show/43181538-how-to-live-on-24-hours-a-day?from_search=true&from_srp=true&qid=qjb7osH3io&rank=1,0.950,no,144321561:How to Live on 24 Hours a Day by Arnold Bennett (2015-02-12) / Arnold Bennett || 198245434:How to live on 24 hours a day by Arnold Bennett ( World's Classic ) by Arnold Bennett (2015-12-21) / Unknown Author || 203068398:How to Live on 24 Hours a Day by Arnold Bennett (2009-09-22) / Unknown Author
wrong-edition,The 80/20 Principle,Richard Koch,read-2020,2020/12/31,20350338,Summary: The 80/20 Principle Richard Koch,Must Read Summaries,162721457,The 80/20 Principle (MP3) by Richard Koch (2008-01-09),Richard Koch,https://www.goodreads.com/book/show/162721457-the-80-20-principle-mp3-by-richard-koch?from_search=true&from_srp=true&qid=a5gRh2DAu0&rank=3,0.950,no,"251851858:80 20 Siddhant (Hindi edition The 80/20 Principle by Richard Koch): Kumse Jyada Hasil Karneka Rahasya / Richard Koch || 222696478:The 80/20 Principle By Richard Koch, Atomic Habits By James Clear & How to Talk to Anyone By Leil. Lowndes 3 Books Collection Set / Richard Koch || 20350338:Summary: The 80/20 Principle Richard Koch / Must Read Summaries"
wrong-edition,Lead Yourself First: Inspiring Leadership Through Solitude,Michael S. Erwin; Raymond Kethledge,read-2020,2020/12/31,31451193,Lead Yourself First: Inspiring Leadership Through Solitude,Raymond M. Kethledge,31451193,Lead Yourself First: Inspiring Leadership Through Solitude,Raymond M. Kethledge,https://www.goodreads.com/book/show/31451193-lead-yourself-first?from_search=true&from_srp=true&qid=awgiqrGprN&rank=1,0.670,no,
wrong-edition,Principles,Ray Dalio,read-2020,2020/12/31,39402685,Summary of Principles by Ray Dalio,Better Me,41076525,Resumen Principles de Ray Dalio | En Español: Principios Ray Dalio en español,Resumiendo Libros,https://www.goodreads.com/book/show/41076525-resumen-principles-de-ray-dalio-en-espa-ol?from_search=true&from_srp=true&qid=gQ3XsBs10o&rank=3,0.670,no,39402685:Summary of Principles by Ray Dalio / Better Me || 51556177:Principles by Ray Dalio: Summary / Nora Right || 59854353:Summary of Principles by Ray Dalio: Life and Work / Quick Reads
wrong-edition,Zero to One,Peter Thiel; Blake Masters,read-2020,2020/12/31,89868864,"SUMMARY: Zero to One by Peter Thiel and Blake Masters (UNOFFICIAL SUMMARY: Lesson from Peter Thiel & Blake Masters): future proofing you, the ... by dr. judy mikovits, negotiating globally,",Powerful Insights,244167177,Zero To One By Peter Thiel,Peter Thiel,https://www.goodreads.com/book/show/244167177-zero-to-one-by-peter-thiel?from_search=true&from_srp=true&qid=IeOJSVwVSO&rank=7,0.950,no,"31703274:Zero to One: by Peter Thiel | Conversation Starters / Daily Books || 61310946:How I Built This By Guy Raz [Hardcover], Range By David Epstein, Zero To One By Peter Thiel, Hyperfocus By Chris Bailey 4 Books Collection Set / Guy Raz || 25250891:Elon Musk SUCCESSNotes: Zero to One, The Innovators, Peter Thiel, Steve Jobs, Tesla Motors, And Electric Cars / Success Notes"
wrong-edition,Naked Economics,Charles Wheelan,read-2020,2020/12/31,39858789,Analysis of Charles Wheelan’s Naked Economics by Milkyway Media,Milkyway Media,40180021,Naked Economics: Undressing the Dismal Science,Charles Wheelan,https://www.goodreads.com/book/show/40180021-naked-economics?from_search=true&from_srp=true&qid=yaGmP12edv&rank=1,0.950,no,212424712:[Charles Wheelan] Naked Economics: Undressing The Dismal Science (Fully Revised and Updated) - Paperback / Unknown Author || 28628818:Summary & Study Guide Naked Economics: Undressing the Dismal Science by Charles Wheelan / BookRags || 39858789:Analysis of Charles Wheelan’s Naked Economics by Milkyway Media / Milkyway Media
wrong-edition,Naked Statistics,Charles Wheelan,read-2020,2020/12/31,130964305,Naked Statistics by Charles Wheelan (Jan 8 2013),Unknown Author,17986418,Naked Statistics: Stripping the Dread from the Data,Charles Wheelan,https://www.goodreads.com/book/show/17986418-naked-statistics?from_search=true&from_srp=true&qid=FQqMgM3LJP&rank=2,0.950,no,238088004:Naked Statistics: Stripping the Dread from the Data by Charles Wheelan(1993-10-17) / Charles J. Wheelan || 236397096:Naked Statistics: Stripping the Dread from the Data by Charles Wheelan(2000-02-01) / Charles J. Wheelan || 130964305:Naked Statistics by Charles Wheelan (Jan 8 2013) / Unknown Author
wrong-edition,"Surely You're Joking, Mr. Feynman!",Richard P. Feynman,read-2020,2020/12/31,21177039,"Lesson Plan Surely You're Joking, Mr. Feynman! by Richard Feynman",BookRags,35167685,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,https://www.goodreads.com/book/show/35167685-surely-you-re-joking-mr-feynman?from_search=true&from_srp=true&qid=4OyoRiKfH1&rank=1,0.950,no,"17365:Surely You're Joking, Mr. Feynman/What Do You Care What Other People Think? / Richard P. Feynman || 246677549:[ SURELY, YOU'RE JOKING MR FEYNMAN AND WHAT DO YOU CARE WHAT OTHER PEOPLE THINK? ] By Feynman, Richard P ( Author) 2006 [ Compact Disc ] / RichardP.Feynman || 7316197:Richard Feynman: Richard Feynman . Surely You're Joking, Mr. Feynman!, The Feynman Lectures On Physics , What Do You Care What Other People Think? , Manhattan Project / Frederic P. Miller"
wrong-edition,The Courage to Be Disliked,Ichiro Kishimi; Fumitake Koga,read-2020,2020/12/31,48922119,"Summary of The Courage to Be Disliked By Ichiro Kishimi and Fumitake Koga | How to Free Yourself, Change Your Life, and Achieve Real Happiness",CTPrint,251058699,The Courage To Be Disliked by Ichiro Kishimi and Fumitake Koga & Courage To Stay Happy by Kaori Sato 2 Books Collection Set,Ichiro Kishimi and Fumitake Koga,https://www.goodreads.com/book/show/251058699-the-courage-to-be-disliked-by-ichiro-kishimi-and-fumitake-koga-courage?from_search=true&from_srp=true&qid=9BiIwupbnR&rank=3,0.670,no,"219743155:Cracked By James Davies & The Courage To Be Disliked By Ichiro Kishimi, Fumitake Koga 2 Books Collection Set / James Davies Eden Locke || 244498586:The Courage To Be Disliked BY Kishimi Ichiro / Unknown Author || 48922119:Summary of The Courage to Be Disliked By Ichiro Kishimi and Fumitake Koga | How to Free Yourself, Change Your Life, and Achieve Real Happiness / CTPrint"
missing,Peak,K. Anders Ericsson; Robert Pool,read-2020,2020/12/31,22911,Amerika,Franz Kafka,26312997,Peak: Secrets from the New Science of Expertise,K. Anders Ericsson,https://www.goodreads.com/book/show/26312997-peak?from_search=true&from_srp=true&qid=saTsQWQbsi&rank=1,0.950,no,39775260:SUMMARY: Peak: Secrets from the New Science of Expertise: By K. Anders Ericsson | The MW Summary Guide / The Mindset Warrior
wrong-edition,The Subtle Art of Not Giving a F*ck,Mark Manson,read-2019,2019/12/31,50763484,Summary & Analysis of The Subtle Art of Not Giving a F*ck by Mark Manson,Buddy Reads,41140998,SUMMARY: THE SUBTLE ART OF NOT GIVING A F*CK by Mark Manson: A COUNTERINTUITIVE APPROACH TO LIVING A GOOD LIFE,Napoleon Hook,https://www.goodreads.com/book/show/41140998-summary?from_search=true&from_srp=true&qid=S1qmOaKqSP&rank=1,0.320,yes,"32790095:Summary of The Subtle Art of Not Giving a F*ck: by Mark Manson | Includes Key Takeaways & Analysis / FastReads || 33972857:Summary - The Subtle Art of Not Giving a F*ck: By Mark Manson - A Counterintuitive Approach to Living a Good Life (the subtle art of not giving a f--- ... Paperback, Audiobook, Audible, Cd Book 1) / EZ-Summary || 50763484:Summary & Analysis of The Subtle Art of Not Giving a F*ck by Mark Manson / Buddy Reads"
missing,"Godel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,read-2021,2021/02/24,123471,I Am a Strange Loop,Douglas R. Hofstadter,24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,https://www.goodreads.com/book/show/24113.G_del_Escher_Bach?from_search=true&from_srp=true&qid=QqJ9h6f5qK&rank=1,0.950,no,
wrong-edition,Man's Search for Meaning,Viktor E. Frankl,read-2021,2021/03/16,25045518,Summary: Man's Search for Meaning by Viktor E. Frankl : Book Summary,FlashNotes Book Summaries,4069,Man's Search for Meaning,Viktor E. Frankl,https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning?from_search=true&from_srp=true&qid=cPiNr1NQRi&rank=2,0.950,no,"25045518:Summary: Man's Search for Meaning by Viktor E. Frankl : Book Summary / FlashNotes Book Summaries || 55291159:Summary of Man's Search for Meaning: by Viktor E. Frankl | Includes Analysis / Instaread Summaries || 26811345:Man's Search for Meaning: by Viktor E. Frankl | Key Takeaways, Analysis & Review / Instaread Summaries"
wrong-edition,The Anthropocene Reviewed,John Green,read-2021,2021/08/26,58652189,Workbook for The Anthropocene Reviewed by John Green: Essays on a Human-Centered Planet,Genius Reads,55145261,The Anthropocene Reviewed: Essays on a Human-Centered Planet,John Green,https://www.goodreads.com/book/show/55145261-the-anthropocene-reviewed?from_search=true&from_srp=true&qid=4zEPZ56Hjh&rank=4,0.950,no,58652189:Workbook for The Anthropocene Reviewed by John Green: Essays on a Human-Centered Planet / Genius Reads || 155619763:Study Guide: The Anthropocene Reviewed by John Green / SuperSummary || 62236343:Workbook for: The Anthropocene Reviewed By John Green / Expedition Reads
missing,A Devil's Chaplain,Richard Dawkins,read-2021,2021/10/23,61535,The Selfish Gene,Richard Dawkins,61536,"A Devil's Chaplain: Reflections on Hope, Lies, Science, and Love",Richard Dawkins,https://www.goodreads.com/book/show/61536.A_Devil_s_Chaplain?from_search=true&from_srp=true&qid=QYExoloLfv&rank=1,0.950,no,"252140721:A Devil's Chaplain: Selected Writings by Dawkins, Prof Richard (January 8, 2004) Paperback / Richard Dawkins"
wrong-edition,Fahrenheit 451,Ray Bradbury,read-2021,2021/12/31,296805,Novel Ideas Classic: Fahrenheit 451 Ray Bradbury,Mark Angney,296805,Novel Ideas Classic: Fahrenheit 451 Ray Bradbury,Mark Angney,https://www.goodreads.com/book/show/296805.Novel_Ideas_Classic?from_search=true&from_srp=true&qid=ADoqIoAp9s&rank=1,0.670,no,1716339:Fahrenheit 451 De Ray Bradbury / Guy Renotte || 416399:Fahrenheit 451: By Ray Bradbury / Nick Otten || 1543510:Fahrenheit 451 Teacher Guide - complete lesson unit for teaching the novel Fahrenheit 451 by Ray Bradbury / Kristen Bowers
